company,date,description,location,title
Capital Recruitment Services,2023-02-13,"Must have skills
Must have experience in Node JS & React JS
Experience in cloud architecture Azure would be preferred, optional AWS etc
Experience in RDBMS databases like SQL Server etc

If interested please share resumes @ ( balajicrs01@gmail.com)Experience in No SQL database
Experience in Agile and DevOps practices and tools such as Jenkins, JIRA, Confluence, SonarQube, etc","Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Work form Home job fully remote hiring FullStack Tech lead
Randstad,2023-02-07,"We are looking for Azure Data Engineer - 100% work from HomeJob Description: Experience: 6+ Years Experience in Perform Design, Development & Deployment using Azure Services ( Data Factory, Azure Data Lake Storage, Synapse, Polybase, SQL) Develop and maintain scalable data pipelines and build out new Data Source integrations to support continuing increases in data volume and complexity. Experience in create the Technical Specification Design, Application Interface Design. Files Processing  XML, CSV, Excel, ORC, Parquet file Formats Develop batch processing, streaming and integration solutions and process Structured and Non-Structured Data Good to have experience with ETL development both on-premises and in the cloud using SSIS, Data Factory, and related Microsoft and other ETL technologies Demonstrated in depth skills with Azure Data Factory, Azure Synapse, Polybase, ADLS (must have) with the ability to configure and administrate all aspects of Azure SQL DB. Collaborate and engage with BI & analytics and business team Deep understanding of the operational dependencies of applications, networks, systems, security and policy (both on premise and in the cloud; VMs, Networking, VPN (Express Route), Active Directory, Storage (Blob, etc.), Experience with dev-ops and CI/CD Process oriented with great documentation skills Excellent oral and written communication skills with a keen sense of customer serviceIf interested please share your resume at priya.subramanian@randstad.in and I can be reached at 9952231608",Permanent Remote,Job | Remote Opportunity with Randstad Tech For Azure Data Engineer
Unisys,2022-11-24,"     First point of contact for all end user reported issues or requests        Typically provides technical support for Internal and External customers        Responsible for providing the first-line of telephone technical support of hardware, Operating Systems, sub-systems and/or applications for customers and/or employees        Applies basic diagnostic techniques to identify problems, investigate causes and recommend solutions to correct common failures        Takes end to end Ownership of End User Issues till resolution and follow up as mandated by the process requirements        Escalates complex problems to the Remote Support Engineering staff or Field Engineering        Maintains call quality and response times as per the agreed SLAs. Maintains records of calls and ensure all cases are updated in the system        Support multiple clients through customer service professionalism and insight      ",Hyderabad/Secunderabad,Service Desk Associate
Unisys,2022-12-22,"Willingness and ability to work in shifts (24 x 7). Willingness and ability to work in shifts (24 x 7)Good Knowledge on Operating Systems,Hardware,Networking and MS Applications A minimum qualification any Engineering or Non-Engineering Graduates (2021 and 2022 Batch)",Hyderabad/Secunderabad,Service Desk Associate
Coalition Technologies,2023-02-17,"Freshers / College Graduates are encouraged to apply for this positionYOU SHOULD HAVE:  . Prior experience in web design industry (preferred,but not required)","Hybrid - Hyderabad/Secunderabad, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Junior Front End Developer - Remote (Fresh College Graduates)
Coalition Technologies,2023-02-17,"TO APPLY, PLEASE RIGHT CLICK ON THE LINK: http://bit.ly/3Zby6DpYOU SHOULD HAVE: A minimum of 6 months experience managing SEM / PPC campaignsExperience with the Google Ads Editor and Bing Ads EditorExperience using the Keyword Planner Tool, or other keyword research toolsOne or more years of professional Google Ads experience (preferred)Google Ads Certification (preferred)Knowledge of account KPI selection, measurement and reporting.Bing and Facebook paid advertising experience (preferred)Ability to manipulate large Google Ads data sets in Excel with vlookup and preferably VBAPassion for marketing, advertising, and online content developmentStrong research abilities with excellent analytical skillsExcellent time management skills and the ability to meet strict deadlinesA high proficiency in Microsoft Excel, Gmail, Google Docs, and Basecamp (preferred)The availability to work 40 hours per week from 9:00 am to 6:00 pm PSTThe ability to adapt in a diverse and multicultural environmentPassion to build a startupReliable transportation if working in-houseA reliable workstation with a fast computer, microphone and speakers, reliable internet and power if working remotelyYOUR DUTIES AND TASKS: While managing SEM campaigns, you will be conducting keyword research and writing copy for adsStructuring campaigns and ad groups and determining the best settingsWorking with large data sets in Excel and uploading data/content for ads using the Google Ads Editor toolCreating, analyzing, and optimizing Google Ads and Bing Ads campaigns for clients across varying industriesEnsuring that all Google Ads and Bing Ads campaigns are optimized to bring highly targeted traffic to our clients' online stores while also ensuring a very strong ROI for every clients marketing budgetRegularly consulting with the Google Ads Manager, SEO team and other stakeholders to ensure Google Ads and Bing Ads strategies are in line with the clients brand, budget, and overall marketing goalsMonitoring the success of campaigns using various reporting toolsAnalyzing campaign metrics/data and providing interpretation and suggestions for improving performance to the ManagerConducting AB testing across ads and landing pagesReviewing traffic in Google AdsStaying current with Google Ads updates, Bing Ads updates, new technologies, trends, and best practicesPotentially working on Bing Ads and Facebook AdsSuccessfully completing Google Ads Certification if not already obtainedTO APPLY, PLEASE RIGHT CLICK ON THE LINK: http://bit.ly/3Zby6Dp","Hybrid - Kolkata, Hyderabad/Secunderabad, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",PPC / SEM Analyst - Remote
bz Technologies,2023-02-06,"We are looking for Data Entry Operator
Any one can apply
Basic Computer Knowledge
Must Have Basic Typing Speed
No Work Pressure & No Time Boundation.
Full Time, Part Time Freelance/Homebased","Temp. WFH - Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Data Entry/Computer Operator/Fresher/Work Form Home/Part-Full Time
"
BYJUS,2022-07-19,Qualifications:  . . Graduate/ Post Graduate in any stream Should own a two / four wheeler with a valid driving licenseExperience Skills:  . . Good communication explanation skills,REMOTE,Tutor - BYJU S Home Tuitions
Replicon,2019-01-21,"In this role you will be working with customers from all over the world including countries like Nigeria,South Africa and Antarctica resolving Level 1 customer issues,escalating critical issues to Tier 2 team,reaching solutions that are mutually beneficial to customers and RepliconQualifications:  . . . . . . Any Bachelors Degree",Bengaluru,Product Support Associate
Tech Mahindra,2023-01-21,"Delivering a client focused service experience for technology user queries received over the phone,in a professional and timely manner while demonstrating the highest standards of verbal communication",Hyderabad/Secunderabad,Remote Desktop Support Engineer
Talent Zone Consultant,2020-01-23,-  attending Customers On Call / Email and Remote Support.     -  Diagnose Errors that May Come to Customer While Using the Application.    - installation of Web / Desktop Solution and Database    -  Configure Database Backups and Jobs.,Mumbai,Technical Support Engineer
Orcapod Consulting Services,2023-01-24,Must have good production experience using React with Typescript.,"Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas), Andhra Pradesh, Kerala",Hiring React JS For Infosys/C2H/Work from Home/Remote
Teleperformance (TP),2023-02-20,"We are hiring candidates for work from home from any location across India.  . Only Candidate with Excellent Spoken English,Hindi can apply.  . Fluency in English,Hindi both are mandatoryShift Timings - 24*7 . . Login Hours - 9 Hours . . Voice Process - Customer Service (Chat + Voice process) . . NO LEAVES FOR NEXT 3 MONTHS . Processor name - (minimum i3 processor) -.",Permanent Remote,Permanent Work from Home For Customer Support
Unisys,2022-10-18,"Willingness and ability to work in shifts (24 x 7) . Fresher Good Knowledge on Operating Systems,Hardware,Networking and MS Applications  A minimum qualification any Engineering or Non-Engineering Graduates (2021 and 2022 Batch) Good knowledge of Microsoft Office Suite (Word,Excel,Outlook etc)",Bangalore/Bengaluru,Service Desk Associate
IndiaMART,2023-01-20," About Online Associate ProgramAs an Online Associate, you will assist IndiaMARTs buyers over call. You will be required to verify information from the buyer and update the same on the portal. It is a non-sales process but a voice based calling process. * Preference will be given to special abled (PWD) and Female candidates Program HighlightsWork as Part-Time associatesWork from location of your choiceCreate your own work schedule of minimum 4 hours a dayWeekly Payout based on the outputAdditional incentives for quality outputNon-Sales calling jobLanguage Preference - Hindi, English, TamilFlexible working hours available between 9AM to 9PMSelection ProcessOnline IndiaMART Aptitude TestVideo Assessment Mandatory Documents RequiredAddress Proof - Aadhaar CardID Proof - PAN CardBank Details - Cancelled Cheque/Bank Statement/PassbookPH/PWD Certificate (if applicable)Passport size photograph Career ProgressionBased on your performance and consistency you might be eligible for Full-Time work opportunity in IndiaMART.Apply Now to grab this opportunity !!","Madurai, Chennai, Coimbatore",Female Customer Care Associate | Remote
Sugandha Singh,2023-02-15,"Should have Laptop and Phone access for the work from home.Timing - 10:00am to 7:00pm Daily coordination with the candidates.Preparation of Recruitment Reports Exp - Minimum 6 Months of HR Experience.Graduation - BBA / B.com,MBA",Permanent Remote,Urgently Hiring Recruitment Executive || HR Recruiter || Remote
Optimhire Software Solutions,2023-02-10,NIGHT SHIFT / US SHIFT 100% Remote Work for home position:   This is a 100% Remote Work from home PositionShould be flexible with time-based on Requirements Candidates should have excellent communication skills Immediate joiners preferred  REMOTE JOB Must have worked on permanent as well as contractual staffingPlease Must Watch,"Hybrid - Kolkata, Nagpur, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",US IT Recruiter (Remote)
Laxmi Technology,2023-02-20,CANDIDATES FOR WORK FROM HOME PART TIME / FULL TIME JOBS URGENT REQUIREMENT FOR FRESHERS AND EXPERIENCED FRESHERS AE WELCOME GOOD KNOWLEDGE OF COMPUTER MUST HAVE LAPTOP OR SYSTEM MUST HAVE BASIC TYPING SPEED MUST HAVE TYPING ACCURACY,"Temp. WFH - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Data Entry Operator I Work From Home
Kingone,2023-02-11,"Urgently required Data Entry Operator, Computer Operator
Computer / Laptop Or Android Phone Is Compulsory.
Basic Computer Knowledge.
Freshers are Welcome
No Target
No Work Pressure
Full /Part-Time Jobs

We also welcome candidates from other states","Temp. WFH - Noida, Chandigarh, Hyderabad/Secunderabad, Pune, Ahmedabad, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",Full/part-time DATA Entry Executive Work From Home / Computer Operator
Unisys,2021-10-19,"Good Knowledge on Operating Systems,Hardware,Networking and MS Applications . . Good knowledge of Microsoft Office Suite (Word,Excel,Outlook etc.)",Bangalore/Bengaluru,Service Desk Associate (International Voice Support)
Mfine,2022-12-15,Experience using help desk software and remote support tools . . . . Understanding of how CRM systems workExcellent communication and problem-solving skills . . . . Multi-tasking abilities . . . . English and Hindi should be fluent to communicate other languages are added . . advantage Experience as a Customer Support Specialist or similar CS role 0 - 4 years . . .,Bangalore/Bengaluru,Associate - Customer Support
BYJUS,2022-12-14,Eligibility: UG completed . . Work Location: Remote (Work from Home)  Providing error-free step-by-step solutions to the questions raised by the students. . An ideal candidate should:  . . Have a passion for teaching and creating an impact in the field of education,Remote,Academic Specialist
Jala Academy,2022-12-28,  Interns need to work on the latest technologies to build tools that support “Training without Trainers” Platform. It is a great opportunity for anyone to be an expert on the latest Technologies in less than 6 months.   Job is guaranteed within  6 months. Salary varies anywhere between 3.6 lakhs to 10.5 lakhs.   Company Profile: visit jalaacademy.com to know about the company.     Requirements     Basic Programming skills on any Language   Interested to learn new things every day   Committed to complete the tasks as per the schedule   Confidence to face the Technical challenges   Creative and innovative   Ability to spend 4 to 8 Hours every Day   Desire to get a JOB in an MNC within 6 months    Pan India ,Remote,Internship For Full Stack Development
Talent Corner Hr Services,2023-01-23,"Work From Home / Remote Job For US Client.

MUST be proficient in REVIT & AutoCAD.

Strong understanding of MEP Electrical Calculation like Cable & Earthing Calculation ,Lightning Protection etc.

Must have experience with International Project.","Pune, Bangalore/Bengaluru, Mumbai (All Areas)",MEP Electrical Design Engineer @ Work From Home / Remote Job
Emurgo,2022-11-02,1+ years of experience in React Native / React (preferable) and other web and mobile technology experience (breadth and depth)Preferred Qualifications / Bonus Points  0 to 2 years of experience in Software development Good knowledge of Git,Remote,Front End Engineer
Randstad,2023-02-07,Location: Bangalore (Randstad office) - Now it is work from home but once office opens candidate should visit office. . . Shift times - Monday to Friday 6 PM to 3 AM (Night shift)Required QualificationsIndividuals must be customer focused and possess strong interpersonal skillsMust be able to drive results and have excellent follow-up skills,Permanent Remote,Network Engineer - Remote Work Permanently
Finesse FZ,2023-02-14,"Designation : ERP Data AnalystExperience : 4 YearsJob location: RemoteNature of employment : Permanent & full timeResponsibilities: - Execute extraction, transformation, and load of legacy data into the new ERP environment. Identify and communicate efficient ways to collect, cleanse and maintain data necessary forD365 .Work with legacy systems to extract source data in preparation for migration to D365 Develop data for migration provide guidance to business for pre-configured templates tocollect data, prepare for master data Work with ERP implementation partner for data migration Create new data sets to support the project when required Support data cleansing and reconciliation of data across different systems or entities Perform and/or coordinate data validation, quality assurance (Q/A), user interface (UI)verification activities related to data migration Adherence to defined timelines and be able to meet tight deadlines Provide suggestions to streamline the extraction of data, and data migration processes tomaintain or improve upon expected results Work with project teams to find solutions to complex technical, managerial, or operationalproblems and evaluate options based on relevant information, resources Understand and support data standards and processes to support master data migration Communicate data needs effectively and timely with field offices and project teams Work with project teams to find solutions to complex technical, managerial, or operationalproblems and evaluate options based on relevant information, resources Performs other duties and responsibilities as required to support the ERP projectimplementation.Skills & Experience :- At least 4 years of data migration and data quality related experience. Good skills in designing data migration templates, helping business in exporting andimporting data from legacy systems to ERP system for complex systems Experience with ERP, like D365,SAP, Oracle Must be able to understand complex data migration problems and recommend solutions Experience with data migration tools required Experience with ETL (Extract, Transform and Load) process Experience with Databases (SQL, PostgreSQL, ..etc.) Experience with data cleansing and performing QA on data required Demonstrated understanding of ERP systems, and business processes Excellent communication skills - you communicate clearly and can adapt your style todifferent target audiences Familiarity with application development with Microsoft .NET Framework, ASP.NET/C#, andWeb Services desiredGood to have Experience with Zoho, SharePoint, and SDLC is a big plus Experience in writing and executing test plans/test cases/scripts and automated test tools Nice to have understanding of the EDI process , Integration with ERP systems",Permanent Remote,Urgent opening For the role of ERP Data Analyst II Remote working
Perfect Publishing Solutions,2023-02-04,"Can apply directly at hr.reltop@gmail.com


Since Naukri doesn't provide space for complete Job description
For Job Description Click or Copy Paste  link in new tab:

http://mailchi.mp/61a076c93662/senior-odoo-developer-15505712Apply Urgently interview Underway
NO WALKINS
Gender: Any
Job Location: WFH-Remote
Working Days: Monday - Friday-4PM-12.30AM
Strong knowledge of Python &  programming
 understanding of ODOO basic flow.5 Days Week","Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",Senior Odoo Developer-WFH (Remote)-5DayWeek-Immediate Joining
Techno Compass Consulting,2023-02-03,Exp in Angular Typescript (Must),"Navi Mumbai, Chennai, Bangalore/Bengaluru",React JS (Typescript) Developer-All levels | Permanent WFH/Remote
IndiaMART,2023-01-20," About Online Associate ProgramAs an Online Associate, you will assist IndiaMARTs buyers over call. You will be required to verify information from the buyer and update the same on the portal. It is a non-sales process but a voice based calling process. * Preference will be given to special abled (PWD) and Female candidates Program HighlightsWork as Part-Time associatesWork from location of your choiceCreate your own work schedule of minimum 4 hours a dayWeekly Payout based on the outputAdditional incentives for quality outputNon-Sales calling jobLanguage Preference - Hindi, English, Malayalam and KannadaFlexible working hours available between 9AM to 9PMSelection ProcessOnline IndiaMART Aptitude TestVideo Assessment Mandatory Documents RequiredAddress Proof - Aadhaar CardID Proof - PAN CardBank Details - Cancelled Cheque/Bank Statement/PassbookPH/PWD Certificate (if applicable)Passport size photograph Career ProgressionBased on your performance and consistency you might be eligible for Full-Time work opportunity in IndiaMART.Apply Now to grab this opportunity !!","Mangaluru/Mangalore, Mysore/Mysuru, Thrissur/Trichur",Female Customer Care Associate | Remote
Coalition Technologies,2023-02-17,"WHY YOU SHOULD APPLY Prior experience with recruitment,sourcing,screening,hiring etcInternational recruiting experience is a plus","Hybrid - Kochi/Cochin, Kolkata, Hyderabad/Secunderabad, Chennai, Delhi / NCR, Mumbai (All Areas)",Recruiter - Remote
Genpact,2023-02-18,"Shift - 24 *7. . . . Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race,color,religion or belief,sex,age,national origin,citizenship status,marital status,military / veteran status,genetic information,sexual orientation,gender identity,physical or mental disability or any other characteristic protected by applicable laws",Hyderabad/Secunderabad,Genpact is Hiring For Technical Support Analyst - Hyderabad
Kingone,2023-02-10,"Urgently required Data Entry Operator, Computer Operator
Computer / Laptop Or Android Phone Is Compulsory.
Basic Computer Knowledge.
Freshers are Welcome
No Target
No Work Pressure
Full /Part-Time Jobs","Temp. WFH - Kolkata, Visakhapatnam, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Work@Home / Home Based Part-time Work /Online Data Entry Operator
Unisys,2022-10-13,"Willingness and ability to work in shifts (24 x 7)Good Knowledge on Operating Systems,Hardware,Networking and MS ApplicationsMinimum Education Required:  . . A minimum of a Bachelor s Degree or equivalent with English as primary languageMinimum 1 Year experience working in a IT helpdesk or Service DeskSkills,Experience & Qualifications:  .",Hyderabad/Secunderabad,Service Desk Associate (International Voice Support)
Unisys,2022-12-07,"Willingness and ability to work in shifts (24 x 7) Good Knowledge on Operating Systems,Hardware,Networking and MS Applications Well versed with technology (understanding of networks,monitoring,DBMS,Windows) Good knowledge of Microsoft Office Suite (Word,Excel,Outlook etc)",Bangalore/Bengaluru,Service Desk Associate (International Voice Support)
Ellora Infotech,2023-01-28,Persuasive and results-oriented . . . . A high school diploma or equivalent is preferred . . Proven work experience as an Appointment Setter or similar role . . .,Permanent Remote,Appointment Generation Executive
Sunrise Job Consultancy,2023-01-31,"Systems maintenance,
Build pipelines and other infrastructure related tasks.
This would be primarily in a Windows Server and Azure based environment, but may also involve some Linux admin",Permanent Remote,Infrastructure Engineer || Windows || Remote Work || CMMI3
Hiringmonk Hr Services Llp,2023-02-16,"Exp in customer service, and tech support preferred.
Good communication skills and listening skills.
 Excellent time to multi task management.
Owns a laptop that runs Google Chrome and has a headset.
 Able to work in a 24/7 roster based shift.",Permanent Remote,Technical support : Robot Operation @ Remote Working
Platinus Technologies,2023-02-14,"Hi,Freelancing -- WFH/Remote --can work after 7pm ISTWe are looking for DevOps Engineer as Freelancer, who are interested in giving ""Online Training"" sessions and ""Job support"".// Please apply if you are interested, will get back to you ASAP //Thank you.",Permanent Remote,DevOps Engineer -- Freelancer -- WFH/Remote --Can Work after 7pm IST
Kingone,2023-02-15,"Urgently required Data Entry Operator, Computer Operator
Computer / Laptop Or Android Phone Is Compulsory.
Basic Computer Knowledge.
Freshers are Welcome
No Target
No Work Pressure
Full /Part-Time Jobs","Temp. WFH - Karur, Hassan, Belur, Alleppey/Alappuzha, Tirupur/Tiruppur, Kodaikanal, Calicut/Kozhikode, Thanjavur/Tanjore, Kanchipuram",Hiring For Fresher/Work@Home/Banking/Data Entry Operator
IndiaMART,2023-01-20," About Online Associate ProgramAs an Online Associate, you will assist IndiaMARTs buyers over call. You will be required to verify information from the buyer and update the same on the portal. It is a non-sales process but a voice based calling process. * Preference will be given to special abled (PWD) and Female candidates Program HighlightsWork as Part-Time associatesWork from location of your choiceCreate your own work schedule of minimum 4 hours a dayWeekly Payout based on the outputAdditional incentives for quality outputNon-Sales calling jobLanguage Preference - Hindi, English, Gujarati and MarathiFlexible working hours available between 9AM to 9PMSelection ProcessOnline IndiaMART Aptitude TestVideo Assessment Mandatory Documents RequiredAddress Proof - Aadhaar CardID Proof - PAN CardBank Details - Cancelled Cheque/Bank Statement/PassbookPH/PWD Certificate (if applicable)Passport size photograph Career ProgressionBased on your performance and consistency you might be eligible for Full-Time work opportunity in IndiaMART.Apply Now to grab this opportunity !!","Pune, Ahmedabad, Surat",Female Customer Care Associate | Remote
Genpact,2023-02-18,"Shift - 24 *7. . . . Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race,color,religion or belief,sex,age,national origin,citizenship status,marital status,military / veteran status,genetic information,sexual orientation,gender identity,physical or mental disability or any other characteristic protected by applicable laws",Hyderabad/Secunderabad,Technical Support Analyst - Hyderabad
Hexaware Technologies,2023-02-20,"Looking for a Contact Center Transformation Consultant (Presales and Solution) with extensive experience in one or more of cloud contact centers,IVR,CTI,NLP,conversational AI,ML,WFM,interaction analytics,agent assistance & ecosystem applications of contact center technologies (CCaaS environments / deals) Years of relevant experience: 5 +","Navi Mumbai, Chennai, Bangalore/Bengaluru",Lead Cloud Contact Center Consultant - Mumbai/ Remote
Canvas Facilities,2023-02-10,"Looking for few data entry people to continuously update our company's & consumer databases. The person will liaise with and follow up with employees within the company as well as with consumers to collect information.Please send your Name / Location / Skills on WhatsApp to 8586-06-2796 
& our team will get in touch with you.","Hybrid - Pune, Chennai, Mumbai (All Areas)",Part-time/Data Entry Operator/Home Based Task /Work@Home Computer Jobs
Puma,2022-07-27,The Puma Security team is looking for a software security engineer intern to contribute to the Puma Scan secure code analysis platformDeveloping new features and enhancements for the Puma Scan web site. . . . Internship candidates are expected to have knowledge of or be willing to learn the following:  .,remote,Software Security Internship
Paytm,2022-12-23,Able to be collaborative on various growth aspects . . Should be able to maintain a good consumer relation . . Good communication skills . . Creative mind . . . . . . Education . . Should be pursuing Graduate or above. .,remote,Intern - Growth Marketing
Navisite,2023-02-10,"Experience Level: 4+ Years of relevant experience . . Work Location: Hybrid mode of work (2 days office) from Pune / Gurgaon/Hyderabad or Remote workingQualifications & Experience Required- . . . Minimum 4+ years of experience in JDE- Finance (GL,AP,AR,FA",Permanent Remote,JDE Finance Functional Consultant at Navisite India - Remote Working
Manpowergroup Services India,2023-02-15,"Greetings from ManpowerGroup!We are looking for Automation Consultant for our product based client(Direct payroll) Location: RemoteType: Permanent Shifts: 4 PM to 12 AM & 6 PM to 2 AM. (Night shift allowances will be there)Roles and Responsibilities  Collaborate with different teams to assure architectural solutions could be suitably translated into effectual and robust implementation. Design and develop Proofs-of-Concept, demo to all stakeholders, and implement an automation solution Assessing gaps in Automated test scripts, provide guidance to customers in fixing design and script issue Assist Pre-Sales and Sales in their client conversations in order to ensure maximum conversions and high-quality dialogue. Coordinate among the different shifts in the organization for the customer issues and run smooth operations Assist Customer Success team to ensure customer retention by doing critical troubleshooting and guiding them through. Responsible for defining test automation strategy for customers Troubleshoot complex automation issues with customers and resolve them To manage the implementation and adherence of testing methods and standards. Deliver inspiring and engaging demos of company Help customers in onboarding and getting success with the product Create a knowledge base, training materials, and provide community support to leads and customers Ensure that customer feedback is incorporated in CompanyDesired Candidate Profile   Minimum 6+ years of proven, relevant Automation Experience. Understanding of Enterprise Architecture and IT systems. Working Knowledge on Automation Frameworks and test automation strategy. Excellent Leadership and convincing skills. Working Knowledge of automation tools such as Selenium Web Driver/VSTS/UFT/Any RPA tools etc. Knowledge of at least one programming knowledge like C#/Java/Python. Should possess good presentation and excellent communication skills. Be experienced with test automation and software quality assurance in general. Be experienced with agile, DevOps processes, source control, database, and CI/CD implementation. Having knowledge of tools such as Jira, Jenkins, Team City, Azure, etc. is a plus. Able to drive scrum meetings for coordination and task management. Enjoy working in a fast-paced, global environment Bachelor's degree in Engineering or equivalent preferred.Note: looking for someone who can join in 30 Days.",Permanent Remote,Automation Consultant II Remote opportunity II Immediate Joiner Only
Sunrise Job Consultancy,2023-01-30,"Good experience on Spring Framework, Hibernate, Spring Boot, Junit
Good knowledge in JasperReport, iReport, Birt, Apache POI.
High level experience in REST
Oracle as master DB read/write, DB transfer etc.
Good experience in Spring boot and SQL.",Permanent Remote,Java Developer || Exp required 5+ years || Remote Work
Kingone,2023-02-14,"Urgently required Data Entry operator,Computer Operator
Computer/Laptop or Android phone is Compulsory
Basic Typing Speed
Basic Computer knowledge
Fresher are welcome
No Target","Temp. WFH - Kochi/Cochin, Madurai, Mohali, Vijayawada, Visakhapatnam, Guntur, Mysore/Mysuru, Pondicherry/Puducherry, Salem",Work From Home / Home Based Part-time Work /Online Data Entry Operator
Amarpadma Finance & Co.,2023-02-18,"URGENT OPENING FOR DATA ENTRY OPERATOR
CAN DO PART TIME/WORK FROM HOME
BASIC KNOWLEGE OF COMPUTER OPERATOR AND DATA ENTRY
ANY GENDER CAN APPLY
FRESHERAND EXPERIENCE BOTH CAN APPLY
NOTARGET
NO BOUNDATION.
NEED GOOD TYPING APPLICANT FOR ENTRING DATA.",Temp. WFH - Delhi / NCR,WHF/Computer DATA Entry Operator/Typing WORK@Home/PART TIME/Fresher
GAO Tek,2023-01-25,Virtual/remote experienced HR for performance evaluations & operations for a USA-based leading firm to sell its IT products to US customers. Potential with high pays.,"Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Entry Level HR Staff - Virtual/Remote (Full Time)
GAO Group,2023-01-23,"Virtual/remote HR for managing, business development for a USA-based leading firm to sell its IT products to US customers. Potential with high pays.
Freshers are encouraged to apply.","Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Entry Level- HR Staff (Full Time)- Virtual/Remote
Arise Solutions,2023-02-15,"A Technical Support Specialist provides assistance to customers who are having technical problems with software, hardware, or other computer-related technologies.",Ahmedabad,"Customer  Support Engineer - L1 , L2 , L3 (voice/remote Access)"
Arise Solutions,2023-02-14,"A Technical Support Specialist provides assistance to customers who are having technical problems with software, hardware, or other computer-related technologies.",Ahmedabad,Customer Support Engineer - (Ahmedabad-Voice/Remote)
Muthoot Finance,2022-05-23,The job is transferable hence male candidates are preferred . The candidate should have:  . . MBA from Reputed College with MBA in marketing and finance should effectively manage the peers and customers Good communication skill Good Analytical skills Good interpersonal skills,Remote,PROBATIONARY OFFICER
Sunrise Job Consultancy,2023-01-31,"5 years of experience in front-end web development using Angular 8/10
Must-have ability to work with REST APIs
Extensive programming experience in HTML5, CSS3.
Excellent knowledge in JavaScript, Typescript, REST, JSON
Expertise in CSS",Hybrid - Trivandrum/Thiruvananthapuram,Angular Developer || Remote Work || Immediate Joiners
Optimum Hiring Solutions,2023-02-18,We are looking for freshers and experienced candidates for work from home Part time / Full time Jobs Freshers are welcome Verify data and maintain accuracy of database GOOD KNOWLEDGE OF COMPUTER MUST HAVE LAPTOP OR SYSTEM MUST HAVE BASIC TYPING SPEED MUST HAVE TYPING ACCURACY,"Temp. WFH - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Data Entry Operator I Work From Home
"
Amarpadma Finance & Co.,2023-02-18,"Urgently required Data Entry operator, computer Operator 
Computer / Laptop or Android phone is Compulsory.
Basic Computer knowledge.
Fresher are welcome 
No Target 
No Work pressure 
Full/Part-Time jobs","Temp. WFH - Noida, Gurgaon/Gurugram, Delhi / NCR",Full/Part-Time Data Entry Executive Work From Home/ Computer Operator
GAO Group,2023-01-23,"Virtual/remote IT HR for managing, business development for a USA-based leading firm to sell its IT products to US customers. Potential with high pays.
Freshers are encouraged to apply.","Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Remote HR Staff - Entry Level
Wissen Infotech,2023-02-20,"Since its direct calling to patients,language fluency is a must (Certified C1 to B2) Life Science Graduates or Health Care professional Freshers or Experienced resources will work",Permanent Remote,Remote Positions For French Translators
Wissen Infotech,2023-02-20,"Since its direct calling to patients,language fluency is a must (Certified C1 to B2) Life Science Graduates or Health Care professional Freshers or Experienced resources will work",Permanent Remote,Remote positions For German Translators!
GAO Group,2023-02-13,"Virtual/remote HR for managing, business development for a USA-based leading firm to sell its IT products to US customers. Potential with high pays.
Freshers are encouraged to apply.","Temp. WFH - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Remote- HR Internship For Students and Freshers
GAO Group,2023-02-19,"Virtual/remote marketing research for sales, business development for a USA-based leading firm to sell its IT products to US customers. Potential with high pays.
Freshers are encouraged to apply.","Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Remote- Marketing Internship For Students and Freshers
